log(m),log(sigma*v),Omegah2
2.776948056970963,-2.423131650346626,0.15642132300067077
2.615032365879922,-2.1634410624951257,0.10688621450410322
1.756492050696123,-0.421941263445869,0.1585309241132528
2.231481452970893,-1.1079075340437754,0.12787893116363375
2.95680715810452,-2.5271369500675958,0.11343006445830471
2.891933492594732,-2.248844159021634,0.10264623832706346
1.7353550299468226,-0.18679406027864154,0.11085599600340791
2.0906981865244814,-0.7233380450643119,0.10510462562543522
2.090650613110612,-0.8394323725105379,0.11806056819758708
2.0616834348978523,-0.9101565861773575,0.12379292790748922
2.7284392925840377,-2.325550781783872,0.12885698864005035
2.480372537601865,-1.8302095234042222,0.13959684630655084
2.2364497243909973,-1.0030525956167402,0.11340891325721235
1.7491715147359876,-0.1881860983225785,0.12394575409703092
1.8792086508835828,-0.5294524334932498,0.12045012423741873
1.9218497578614588,-0.6880118380889217,0.15326776785086568
1.9250122762829869,-0.43405010502334207,0.10722516542165814
1.756492050696123,-0.298265501246612,0.12637898042911697
2.3023617262019833,-1.3726359008687878,0.1395089223740937
2.9375749472283417,-2.6807556071138836,0.1386003234347121
1.7353550299468226,-0.16746084293591945,0.11145868433171914
2.0507839186643015,-0.8160232035047799,0.11210977092993768
2.5409350033863403,-1.6947378503247528,0.1248116594283282
1.7214501806159506,-0.1810306607241694,0.12757583020640997
1.6314677983527477,-0.12308198543456417,0.14598676664575086
1.5980000006643946,-0.01993974602266091,0.14090051450664523
1.7721526361278768,-0.23685873411478164,0.1253824640169618
2.252818407411245,-1.4879571435562577,0.1484453093337665
2.451454101327407,-1.8302095234042222,0.1568560135473437
2.8476164057015865,-2.225363636648553,0.09914616994328496
1.7721526361278768,-0.5064489068255784,0.14829008736274119
1.7788642326017778,-0.1881860983225785,0.10496271152508407
1.6233574753527797,-0.036968912999930215,0.1371959192824511
2.8993985020431694,-2.328133757715446,0.10648355408828121
1.7373933632289482,-0.32045926565660254,0.14012469947726114
1.9202868970225637,-0.5294524334932498,0.11796889194413819
1.7695990399374946,-0.4402160781804154,0.15888696680381956
2.8303427155144547,-2.6807556071138836,0.15794575624500912
2.231481452970893,-1.2222440272581858,0.12039125375925876
1.7469399711435631,-0.05754798735052713,0.10509107191607915
2.3023617262019833,-1.4546627083784673,0.14234947811172083
1.9600186034946079,-0.9101565861773575,0.11820311224553601
1.7604842867070656,-0.16746084293591945,0.11270327304814312
1.9726989278250797,-0.7923850311989051,0.1392998281436105
2.074326991649722,-0.9987401466223866,0.15102667138792047
2.4560012943473666,-1.7686512090903523,0.15001494724318207
2.231481452970893,-0.9399391531006591,0.09966041543257045
1.6293739125267233,-0.16746084293591945,0.1489951521819024
2.258978385934787,-1.2769652747631528,0.13107511404883557
1.8591189841148061,-0.6562480438400575,0.15703102791212564
1.6544864477560153,-0.12308198543456417,0.13897173566982698
2.9646216957572022,-2.644358413486634,0.13659408399960954
1.8052286877067916,-0.43405010502334207,0.14836001691746986
1.7721526361278768,-0.41655582196411567,0.1507658630462094
2.4560012943473666,-1.541694400920366,0.12523258559823996
1.816849480390701,-0.15581786415952426,0.10502869527477357
1.9600186034946079,-0.6323219901743804,0.11319488069453365
1.7555793974955418,-0.09527692581810232,0.11267514686633613
2.891933492594732,-2.491796172316115,0.12771877900052758
1.663287468829012,-0.12600739328529276,0.1335892324142536
2.6492423894484807,-1.929565473106436,0.11867092193401449
2.1652804048299945,-1.2490555798879988,0.14525515138286976
2.76431379498716,-2.2867697705744394,0.13938902719416701
2.95680715810452,-2.6863953470224207,0.14986458906386965
2.4230056456111275,-1.4879571435562577,0.12741951049384376
1.8358751439702004,-0.5316487090443416,0.14764433613775899
1.8946014491935719,-0.40384348159760153,0.11882412899075831
