Mp1,Ms2,laS,Omega,ys,yp
0.001,2000,2000,8.234e-06,1e-11,1e-11
0.0010280732238308647,2000,2000,8.465e-06,1e-11,1e-11
0.0010569345535579883,2000,2000,8.703e-06,1e-11,1e-11
0.001086606113854597,2000,2000,8.947e-06,1e-11,1e-11
0.0011171106505048242,2000,2000,9.199e-06,1e-11,1e-11
0.001148471547840289,2000,2000,9.457e-06,1e-11,1e-11
0.0011807128466661903,2000,2000,9.722e-06,1e-11,1e-11
0.0012138592626906278,2000,2000,9.995e-06,1e-11,1e-11
0.0012479362054713115,2000,2000,1.028e-05,1e-11,1e-11
0.0012829697978941476,2000,2000,1.056e-05,1e-11,1e-11
0.0013189868961986705,2000,2000,1.086e-05,1e-11,1e-11
0.0013560151105656334,2000,2000,1.117e-05,1e-11,1e-11
0.0013940828262825786,2000,2000,1.148e-05,1e-11,1e-11
0.0014332192255035738,2000,2000,1.18e-05,1e-11,1e-11
0.0014734543096198358,2000,2000,1.213e-05,1e-11,1e-11
0.0015148189222583457,2000,2000,1.247e-05,1e-11,1e-11
0.0015573447729261352,2000,2000,1.282e-05,1e-11,1e-11
0.0016010644613183177,2000,2000,1.318e-05,1e-11,1e-11
0.0016460115023085497,2000,2000,1.355e-05,1e-11,1e-11
0.0016922203516410374,2000,2000,1.393e-05,1e-11,1e-11
0.0017397264323438008,2000,2000,1.433e-05,1e-11,1e-11
0.0017885661618834618,2000,2000,1.473e-05,1e-11,1e-11
0.0018387769800823268,2000,2000,1.514e-05,1e-11,1e-11
0.0018903973778192215,2000,2000,1.557e-05,1e-11,1e-11
0.0019434669265360202,2000,2000,1.6e-05,1e-11,1e-11
0.0019980263085725507,2000,2000,1.645e-05,1e-11,1e-11
0.002054117348353064,2000,2000,1.691e-05,1e-11,1e-11
0.0021117830444482445,2000,2000,1.739e-05,1e-11,1e-11
0.002171067602537265,2000,2000,1.788e-05,1e-11,1e-11
0.0022320164692952345,2000,2000,1.838e-05,1e-11,1e-11
0.002294676367231936,2000,2000,1.89e-05,1e-11,1e-11
0.0023590953305086364,2000,2000,1.943e-05,1e-11,1e-11
0.002425322741760353,2000,2000,1.997e-05,1e-11,1e-11
0.0024934093699518806,2000,2000,2.053e-05,1e-11,1e-11
0.002563407409296515,2000,2000,2.111e-05,1e-11,1e-11
0.002635370519267393,2000,2000,2.17e-05,1e-11,1e-11
0.0027093538657320514,2000,2000,2.231e-05,1e-11,1e-11
0.002785414163241769,2000,2000,2.294e-05,1e-11,1e-11
0.002863609718508116,2000,2000,2.358e-05,1e-11,1e-11
0.0029440004751000335,2000,2000,2.424e-05,1e-11,1e-11
0.003026648059395692,2000,2000,2.492e-05,1e-11,1e-11
0.0031116158278243597,2000,2000,2.562e-05,1e-11,1e-11
0.0031989689154345376,2000,2000,2.634e-05,1e-11,1e-11
0.00328877428582551,2000,2000,2.708e-05,1e-11,1e-11
0.0033811007824806854,2000,2000,2.784e-05,1e-11,1e-11
0.0034760191815419775,2000,2000,2.862e-05,1e-11,1e-11
0.0035736022460657883,2000,2000,2.943e-05,1e-11,1e-11
0.0036739247818020743,2000,2000,3.025e-05,1e-11,1e-11
0.0037770636945393685,2000,2000,3.11e-05,1e-11,1e-11
0.003883098049059605,2000,2000,3.197e-05,1e-11,1e-11
0.003992109129748053,2000,2000,3.287e-05,1e-11,1e-11
0.004104180502904709,2000,2000,3.38e-05,1e-11,1e-11
0.004219398080805024,2000,2000,3.474e-05,1e-11,1e-11
0.004337850187558989,2000,2000,3.572e-05,1e-11,1e-11
0.004459627626819096,2000,2000,3.672e-05,1e-11,1e-11
0.004584823751389096,2000,2000,3.775e-05,1e-11,1e-11
0.004713534534786907,2000,2000,3.881e-05,1e-11,1e-11
0.004845858644816496,2000,2000,3.99e-05,1e-11,1e-11
0.004981897519205165,2000,2000,4.102e-05,1e-11,1e-11
0.0051217554433642416,2000,2000,4.217e-05,1e-11,1e-11
0.005265539630332755,2000,2000,4.336e-05,1e-11,1e-11
0.005413360302965381,2000,2000,4.458e-05,1e-11,1e-11
0.005565330778427646,2000,2000,4.583e-05,1e-11,1e-11
0.005721567555063252,2000,2000,4.711e-05,1e-11,1e-11
0.005882190401699956,2000,2000,4.844e-05,1e-11,1e-11
0.006047322449462649,2000,2000,4.98e-05,1e-11,1e-11
0.006217090286163827,2000,2000,5.119e-05,1e-11,1e-11
0.006391624053344006,2000,2000,5.263e-05,1e-11,1e-11
0.006571057546036271,2000,2000,5.411e-05,1e-11,1e-11
0.0067555283153316395,2000,2000,5.563e-05,1e-11,1e-11
0.006945177773823696,2000,2000,5.719e-05,1e-11,1e-11
0.007140151304013403,2000,2000,5.879e-05,1e-11,1e-11
0.007340598369757212,2000,2000,6.044e-05,1e-11,1e-11
0.007546672630843887,2000,2000,6.214e-05,1e-11,1e-11
0.007758532060787836,2000,2000,6.389e-05,1e-11,1e-11
0.007976339067929281,2000,2000,6.568e-05,1e-11,1e-11
0.008200260619934131,2000,2000,6.752e-05,1e-11,1e-11
0.008430468371788968,2000,2000,6.942e-05,1e-11,1e-11
0.008667138797389234,2000,2000,7.137e-05,1e-11,1e-11
0.008910453324821512,2000,2000,7.337e-05,1e-11,1e-11
0.00916059847544371,2000,2000,7.543e-05,1e-11,1e-11
0.009417766006869518,2000,2000,7.755e-05,1e-11,1e-11
0.009682153059967086,2000,2000,7.973e-05,1e-11,1e-11
0.009953962309984233,2000,2000,8.196e-05,1e-11,1e-11
0.010233402121916417,2000,2000,8.426e-05,1e-11,1e-11
0.010520686710236229,2000,2000,8.663e-05,1e-11,1e-11
0.0108160363031071,2000,2000,8.906e-05,1e-11,1e-11
0.011119677311206989,2000,2000,9.156e-05,1e-11,1e-11
0.011431842501291497,2000,2000,9.413e-05,1e-11,1e-11
0.011752771174629452,2000,2000,9.678e-05,1e-11,1e-11
0.012082709350447765,2000,2000,9.949e-05,1e-11,1e-11
