Mp1,Ms2,laS,Omega,ys,yp
0.001,2000,2000,0.08234,1e-09,1e-09
0.0010280732238308647,2000,2000,0.08465,1e-09,1e-09
0.0010569345535579883,2000,2000,0.08703,1e-09,1e-09
0.001086606113854597,2000,2000,0.08947,1e-09,1e-09
0.0011171106505048242,2000,2000,0.09199,1e-09,1e-09
0.001148471547840289,2000,2000,0.09457,1e-09,1e-09
0.0011807128466661903,2000,2000,0.09722,1e-09,1e-09
0.0012138592626906278,2000,2000,0.09995,1e-09,1e-09
0.0012479362054713115,2000,2000,0.1028,1e-09,1e-09
0.0012829697978941476,2000,2000,0.1056,1e-09,1e-09
0.0013189868961986705,2000,2000,0.1086,1e-09,1e-09
0.0013560151105656334,2000,2000,0.1117,1e-09,1e-09
0.0013940828262825786,2000,2000,0.1148,1e-09,1e-09
0.0014332192255035738,2000,2000,0.118,1e-09,1e-09
0.0014734543096198358,2000,2000,0.1213,1e-09,1e-09
0.0015148189222583457,2000,2000,0.1247,1e-09,1e-09
0.0015573447729261352,2000,2000,0.1282,1e-09,1e-09
0.0016010644613183177,2000,2000,0.1318,1e-09,1e-09
0.0016460115023085497,2000,2000,0.1355,1e-09,1e-09
0.0016922203516410374,2000,2000,0.1393,1e-09,1e-09
0.0017397264323438008,2000,2000,0.1433,1e-09,1e-09
0.0017885661618834618,2000,2000,0.1473,1e-09,1e-09
0.0018387769800823268,2000,2000,0.1514,1e-09,1e-09
0.0018903973778192215,2000,2000,0.1557,1e-09,1e-09
0.0019434669265360202,2000,2000,0.16,1e-09,1e-09
0.0019980263085725507,2000,2000,0.1645,1e-09,1e-09
0.002054117348353064,2000,2000,0.1691,1e-09,1e-09
0.0021117830444482445,2000,2000,0.1739,1e-09,1e-09
0.002171067602537265,2000,2000,0.1788,1e-09,1e-09
0.0022320164692952345,2000,2000,0.1838,1e-09,1e-09
0.002294676367231936,2000,2000,0.189,1e-09,1e-09
0.0023590953305086364,2000,2000,0.1943,1e-09,1e-09
0.002425322741760353,2000,2000,0.1997,1e-09,1e-09
0.0024934093699518806,2000,2000,0.2053,1e-09,1e-09
0.002563407409296515,2000,2000,0.2111,1e-09,1e-09
0.002635370519267393,2000,2000,0.217,1e-09,1e-09
0.0027093538657320514,2000,2000,0.2231,1e-09,1e-09
0.002785414163241769,2000,2000,0.2294,1e-09,1e-09
0.002863609718508116,2000,2000,0.2358,1e-09,1e-09
0.0029440004751000335,2000,2000,0.2424,1e-09,1e-09
0.003026648059395692,2000,2000,0.2492,1e-09,1e-09
0.0031116158278243597,2000,2000,0.2562,1e-09,1e-09
0.0031989689154345376,2000,2000,0.2634,1e-09,1e-09
0.00328877428582551,2000,2000,0.2708,1e-09,1e-09
0.0033811007824806854,2000,2000,0.2784,1e-09,1e-09
0.0034760191815419775,2000,2000,0.2862,1e-09,1e-09
0.0035736022460657883,2000,2000,0.2943,1e-09,1e-09
0.0036739247818020743,2000,2000,0.3025,1e-09,1e-09
0.0037770636945393685,2000,2000,0.311,1e-09,1e-09
0.003883098049059605,2000,2000,0.3197,1e-09,1e-09
0.003992109129748053,2000,2000,0.3287,1e-09,1e-09
0.004104180502904709,2000,2000,0.338,1e-09,1e-09
0.004219398080805024,2000,2000,0.3474,1e-09,1e-09
0.004337850187558989,2000,2000,0.3572,1e-09,1e-09
0.004459627626819096,2000,2000,0.3672,1e-09,1e-09
0.004584823751389096,2000,2000,0.3775,1e-09,1e-09
0.004713534534786907,2000,2000,0.3881,1e-09,1e-09
0.004845858644816496,2000,2000,0.399,1e-09,1e-09
0.004981897519205165,2000,2000,0.4102,1e-09,1e-09
0.0051217554433642416,2000,2000,0.4217,1e-09,1e-09
0.005265539630332755,2000,2000,0.4336,1e-09,1e-09
0.005413360302965381,2000,2000,0.4458,1e-09,1e-09
0.005565330778427646,2000,2000,0.4583,1e-09,1e-09
0.005721567555063252,2000,2000,0.4711,1e-09,1e-09
0.005882190401699956,2000,2000,0.4844,1e-09,1e-09
0.006047322449462649,2000,2000,0.498,1e-09,1e-09
0.006217090286163827,2000,2000,0.5119,1e-09,1e-09
0.006391624053344006,2000,2000,0.5263,1e-09,1e-09
0.006571057546036271,2000,2000,0.5411,1e-09,1e-09
0.0067555283153316395,2000,2000,0.5563,1e-09,1e-09
0.006945177773823696,2000,2000,0.5719,1e-09,1e-09
0.007140151304013403,2000,2000,0.5879,1e-09,1e-09
0.007340598369757212,2000,2000,0.6044,1e-09,1e-09
0.007546672630843887,2000,2000,0.6214,1e-09,1e-09
0.007758532060787836,2000,2000,0.6389,1e-09,1e-09
0.007976339067929281,2000,2000,0.6568,1e-09,1e-09
0.008200260619934131,2000,2000,0.6752,1e-09,1e-09
0.008430468371788968,2000,2000,0.6942,1e-09,1e-09
0.008667138797389234,2000,2000,0.7137,1e-09,1e-09
0.008910453324821512,2000,2000,0.7337,1e-09,1e-09
0.00916059847544371,2000,2000,0.7543,1e-09,1e-09
0.009417766006869518,2000,2000,0.7755,1e-09,1e-09
0.009682153059967086,2000,2000,0.7973,1e-09,1e-09
0.009953962309984233,2000,2000,0.8196,1e-09,1e-09
0.010233402121916417,2000,2000,0.8426,1e-09,1e-09
0.010520686710236229,2000,2000,0.8663,1e-09,1e-09
