Mp1,Ms2,laS,Omega,ys,yp
0.001,2000,2000,8.234e-08,1e-12,1e-12
0.0010280732238308647,2000,2000,8.465e-08,1e-12,1e-12
0.0010569345535579883,2000,2000,8.703e-08,1e-12,1e-12
0.001086606113854597,2000,2000,8.947e-08,1e-12,1e-12
0.0011171106505048242,2000,2000,9.199e-08,1e-12,1e-12
0.001148471547840289,2000,2000,9.457e-08,1e-12,1e-12
0.0011807128466661903,2000,2000,9.722e-08,1e-12,1e-12
0.0012138592626906278,2000,2000,9.995e-08,1e-12,1e-12
0.0012479362054713115,2000,2000,1.028e-07,1e-12,1e-12
0.0012829697978941476,2000,2000,1.056e-07,1e-12,1e-12
0.0013189868961986705,2000,2000,1.086e-07,1e-12,1e-12
0.0013560151105656334,2000,2000,1.117e-07,1e-12,1e-12
0.0013940828262825786,2000,2000,1.148e-07,1e-12,1e-12
0.0014332192255035738,2000,2000,1.18e-07,1e-12,1e-12
0.0014734543096198358,2000,2000,1.213e-07,1e-12,1e-12
0.0015148189222583457,2000,2000,1.247e-07,1e-12,1e-12
0.0015573447729261352,2000,2000,1.282e-07,1e-12,1e-12
0.0016010644613183177,2000,2000,1.318e-07,1e-12,1e-12
0.0016460115023085497,2000,2000,1.355e-07,1e-12,1e-12
0.0016922203516410374,2000,2000,1.393e-07,1e-12,1e-12
0.0017397264323438008,2000,2000,1.433e-07,1e-12,1e-12
0.0017885661618834618,2000,2000,1.473e-07,1e-12,1e-12
0.0018387769800823268,2000,2000,1.514e-07,1e-12,1e-12
0.0018903973778192215,2000,2000,1.557e-07,1e-12,1e-12
0.0019434669265360202,2000,2000,1.6e-07,1e-12,1e-12
0.0019980263085725507,2000,2000,1.645e-07,1e-12,1e-12
0.002054117348353064,2000,2000,1.691e-07,1e-12,1e-12
0.0021117830444482445,2000,2000,1.739e-07,1e-12,1e-12
0.002171067602537265,2000,2000,1.788e-07,1e-12,1e-12
0.0022320164692952345,2000,2000,1.838e-07,1e-12,1e-12
0.002294676367231936,2000,2000,1.89e-07,1e-12,1e-12
0.0023590953305086364,2000,2000,1.943e-07,1e-12,1e-12
0.002425322741760353,2000,2000,1.997e-07,1e-12,1e-12
0.0024934093699518806,2000,2000,2.053e-07,1e-12,1e-12
0.002563407409296515,2000,2000,2.111e-07,1e-12,1e-12
